Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""A good place to start""",4.0," Dec 30, 2016",Current,Anonymous Employee,,No,No,Neutral,,Less than a year,"- Excellent pay for an entry food service position<br>- High hiring standards helps to ensure that coworkers are very good to work with<br>- Very flexible to other schedules (school, activities, etc.)","- Very faced paced and requires multi-tasking, sometimes past reasonable limits<br>- Pushes for efficiency can make the job seem like all business sometimes.",
"""Great company but not too great with people""",3.0," Jan 13, 2017",Past,General Manager,"Oak Lawn, IL",No,No,Yes,Full-time,More than a year,"Good pay, good benefits just for GM and apprentices","Not life, working 10 plus hrs every day no OT not weekends not time for family.",Great people is leaving and not one take the time to say thank you
"""Crew Member""",3.0," Jan 11, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Get to meet a lot of cool people, free food/50% discount.","Must have a doctors note when calling in sick, strict managers, hard work especially for grill, smell really gross after work, low pay, call you in frequently on your days off.",Work on connecting with your crew members and help them improve.
"""Its ok""",5.0," Dec 24, 2016",Current,Crew Member,"Denver, CO",Yes,Neutral,Yes,,More than a year,The crew<br>The environment<br>The vision,It's like a high school movie,Be more professional
"""Team member""",3.0," Jan 10, 2017",Past,Crew Member,"New York, NY",No,Neutral,Neutral,,Less than a year,Good for someone with no food industry skills.,"Will learn some knife skills, but will gain little culinary experience.",
"""Corporate""",4.0," Dec 6, 2016",Past,Anonymous Employee,"Denver, CO",No,Neutral,Yes,Full-time,Less than a year,They celebrate small successes and their focus is on getting the job done. Very open and supportive to developing their internal staff and promoting within.,can become very rigid when you challenge the wrong person although they encourage it. Claims its apart of development but truth be told it is your death sentence. if you want to be successful here don't grow a brain and know your place if your in leadership.,Recognize that you don't know everything that goes on in the outside word. Be more open and do exit interviews vs. reading Glassdoor. Take the responses to your meetings and truly look at how you may have miss the bar a few times THEN make steps toward getting better. Acknowledge you don't have all the answers inside the CHIP. Your ex-employee list is getting bigger than your employee list....that's not always good.
"""Good job but a lot of work.""",4.0," Dec 26, 2016",Current,Service Manager,"Watertown, MA",Yes,Neutral,Yes,Full-time,More than a year,"Easy advancement, flexible hours, consistent raises, able to relocate for convenience.","Very team oriented, if one person calls out the entire day can turn into shambles.",
"""Crew/Cashier""",3.0," Jan 9, 2017",Past,Crew Member,"Atlanta, GA",Yes,Yes,Yes,Full-time,Less than a year,"Great culture, Standards, and management process.","Sometimes during the great management process, and the managers selected are hard workers and deserve some degree of leadership, but might not be mentally mature enough to lead a group of individuals who may be in their same age group. Sometimes the way a manager or GM goes about leadership can be childish and non-effective management.","More through management training, more evaluations of store and performance."
"""Good pay""",5.0," Dec 25, 2016",Past,Cashier,"Kingman, AZ",No,Neutral,Neutral,Full-time,Less than a year,Good family place to work.,"You have to work very hard to move up, if you slack off you won't go anywhere.","Nothing, Jillian and Joshua are amazing."
"""Decent company to work for""",3.0," Jan 8, 2017",Current,Tortilla,"Richmond, VA",No,No,Neutral,Full-time,,The training process is great! They put you through a series of 4 days with your trainer for your position then you're on your own. For the most part everyone you work with is great to be around and caring.,"The management isn't that good. Not everyone is caring or great to be around. They don't exactlycare"" about the employees as much as they claim to when being hired or interviewed.",
"""Corporate Employee""",3.0," Jan 8, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,,More than a year,"Food with Integrity mission, people-focused, young company. Food is delicious, and some amazing people work for the company. Lot's of potential within the corporate office; unfortunately the company is bleeding talent.","Disorganized, political, poor executive team, not transparent, not open to new ideas- promotes the same people expecting different results. No professional development for corporate staff- only Operations. No resources ($) for high level projects that will make the company better.","Treasure your corporate office staff, not only Operations. Re-evaluate Ops management from the top down and make drastic changes."
"""A company that could be fun to work for""",3.0," Jan 9, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,The best parts of working for chipotle all boil down to the free meals and discounted meals employees get for working there. They have great food and are a fun atmosphere with the customers,"Lack of structural organization makes it very easy for management to destroy a store systematically and encourages theft, often letting lower level crew members get blamed.","Tighten up your management methods, and increase the checks and balances to ensure that management can't put blame on employees for thefts they can be behind."
"""Chipotle-Natick""",2.0," Jan 8, 2017",Past,Crew Member/Grill Cook,"Natick, MA",No,No,Neutral,,Less than a year,"All you can eat during working hours without having to pay<br>The values are in the right place, not sure if I would consider them ""carried out"" in their stores.",Most fellow employees did not care at all<br>Poor management<br>Dirty building<br>Poor cleaning<br>Would run out of everything all the time<br>Unhappy employees,Hire people who actually care<br>Hire people who know how to be professional<br>Make sure that training is properly done
"""Crew""",4.0," Dec 24, 2016",Current,Crew Member/Grill Cook,"West Lafayette, IN",Yes,Yes,Yes,,More than a year,Excellent people. Opportunities to move to up to corporate,None. Unless you don't have great leaders,Take care of your people and they will take care of you
"""Great kickstarter job!""",5.0," Dec 22, 2016",Past,Crew Member,"Sherman Oaks, CA",Yes,Neutral,Yes,Part-time,More than a year,The atmosphere is fast paced (if you like that)<br>Friendly coworkers<br>Free meal during shift !<br>Fifty percent off when not on shift,"The manager could be sometimes a hassle to deal with , and the job is tiring. Time does go by fast though!",Keep it up !
"""Great Place to work""",4.0," Dec 23, 2016",Past,Anonymous Employee,"Gilbert, AZ",Yes,Yes,Yes,Part-time,Less than a year,"great atmosphere and people, with plenty of room to move up in the company",sometimes upper management put policies in place that were just unreasonable for the volume coming through my store,
"""Thanks but no thanks""",2.0," Jan 6, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Crew members were great and supportive.<br>You get discounted meals.,"You only get one shirt.<br>I had to use my own hat.<br>They give you one day to train, sometimes not even.<br>The mid-tier manager at my store was unsupportive and negative.<br>I told them that I had certain disabilities and they put me on the hardest job with heavy lifting and bending over.<br>They don't schedule in breaks so if you work more than 5 hours and if its busy, you don't get a break.<br>For washing dishes, there's no rubber gloves or plastic aprons, so you'll get soaked by the end of the day.","If a future employee tells you they're disabled, think about where you're putting them.<br>Also, if you have an employee thats bleeding, don't tell them to just ""be more careful"" and have that person prepare all the food for everyone and wash the dishes with open wounds. That's how people get diseases."
